,user_name,user_description,user_location,user_verification,date,text,hashtags,source,retweets
13,Karin Zapata,• Designer • Flamenco's Dancer • Communicator • Creative • Freelancer • Speaking Native Spanish/Maybe you Understand my English&Italian • To be continue... 🍃,,False,2022-06-21 22:08:17,"“Did you know that #manatees are related to elephants? 

Manatees are large aquatic mammals, and sometimes they’re referred as “sea cows”

There are three manatee species worldwide - West Indian, West African and Amazonian - All three are listed as vulnerable to #extinction” https://t.co/SEtyDcYnaX","[{'text': 'manatees', 'indices': [19, 28]}]",Twitter for iPhone,2
14,MR,PERMISSION TO💗GOD. THE REAL MAGICIAN. I’M VEGAN&I❤️KING JESUS&QUEENMARY. K. JESUS❤️IS MY ROCKSTAR&SUPERHERO🐋🐬🌪👽🙏.MARRIED. No dm. NO porn. I WON’T GIVE UP.,Planet Earth and …,False,2022-06-16 13:44:16,"https://t.co/iMaMAiaNnF Pls Pls sign and help saving the animals of Amazon ( pink dolphins, alligators…) The manatees of the Amazon Forest 🌳 need us as well. https://t.co/z4HhtRSBSJ pls Queen Mary help @jairbolsonaro and his wife to put their noses into it! https://t.co/7MYX0OhslB https://t.co/WMnvVgRWWg",,Twitter for iPhone,0
15,Josh Price,"Marketing (of the digital kind), Books, Gifs, Memes, The Simpsons, and a cold, dreadful sense of reality. He/Him/“that loud guy”","Casper, Wyoming",False,2022-06-22 20:48:15,"Inspired by my good friend @kierisi this is the system of measurement which I will use to not so subtly brag about my weight lifting PRs going forward. 

As of today, my new bench PR is Mature Harbor Seal 
Monday I set my new squat PR at West Indian Manatee. https://t.co/JuGC1SzFHT",,Twitter Web App,0
16,GeekysCorner,I draw on my main @GeekyTheArtist • I'm asexual biromantic and go by any pronouns under the sun • I joke around here to avoid my crippling anxiety,Gay Land With The Bois,False,2022-06-22 02:53:44,"Western Grey Kangaroo, West Indian Manatee, Whiptail Wallaby, White Faced Capuchin, White Fronted Capuchin, White Handed Gibbon, White Lipped Peccary, White Tailed Deer, Wild Cavy, Wild Goat, Wisent, Yellow Bellied Marmot, Yellow Footed Rock Wallaby, and Yellow Toothed Cavy",,Twitter for Android,0
17,Karin Zapata,• Designer • Flamenco's Dancer • Communicator • Creative • Freelancer • Speaking Native Spanish/Maybe you Understand my English&Italian • To be continue... 🍃,,False,2022-06-21 22:08:17,"“Did you know that #manatees are related to elephants? 

Manatees are large aquatic mammals, and sometimes they’re referred as “sea cows”

There are three manatee species worldwide - West Indian, West African and Amazonian - All three are listed as vulnerable to #extinction” https://t.co/SEtyDcYnaX","[{'text': 'manatees', 'indices': [19, 28]}]",Twitter for iPhone,2
18,Jared Sachsenmeyer,,,False,2022-06-21 16:02:27,@JoCat105 West Indian Manatee,,Twitter for Android,0
19,D. Scarnecchia,Sr. Tech PM and Product Owner helping build drug safety surveillance tools; @GSPIA MPIA; Former VT goatherd ⁊ @HHI_Signal; Words mine; Currently undefined,"Cambridge, MA",False,2022-06-18 12:07:07,"@rejectionking @kierisi @generativist @cakotz Obese West Indian Manatee, and should be pulling a Mature Bluefin Tuna pretty soon.",,Twitter for iPhone,0
20,The Mall Krampus,"Bennet Bro. Mostly bad but well-read snark. GrillCath Ordolib. RT = Regrettable Tumescence, Likes = Stochastic RTs.",Middle America,False,2022-06-18 01:12:14,"@rejectionking @kierisi @generativist @mountainherder A West Indian Manatee, though in my prime it was a mature bluefin tuna",,Twitter for iPhone,0
21,Pinellas Patch,"Local news, alerts, events and more. We're your source for all things Pinellas.","Pinellas Park, FL",False,2022-06-16 18:54:55,Clearwater Marine Aquarium Research Institute is working to save both the Antillean manatee of Belize and Florida's West Indian manatee. https://t.co/EXVZlCuu4u,,SocialFlow,0
22,Largo Patch,"Local news, alerts, events and more. We’re your source for all things Largo.","Largo, FL",False,2022-06-16 18:54:34,Clearwater Marine Aquarium Research Institute is working to save both the Antillean manatee of Belize and Florida's West Indian manatee. https://t.co/niMvpngwYZ,,SocialFlow,0
23,Gulfport Patch,"Local news, alerts, events and more. We’re your source for all things Gulfport.","Gulfport, FL",False,2022-06-16 18:54:28,Clearwater Marine Aquarium Research Institute is working to save both the Antillean manatee of Belize and Florida's West Indian manatee. https://t.co/CLJUXrjaxa,,SocialFlow,0
24,Tarpon Springs Patch,"Local news, alerts, events and more. We’re your source for all things Tarpon Springs.","Tarpon Springs, FL",False,2022-06-16 18:54:26,Clearwater Marine Aquarium Research Institute is working to save both the Antillean manatee of Belize and Florida's West Indian manatee. https://t.co/RJPV2ycHFU,,SocialFlow,0
25,African Aquatic CF,The African Aquatic Conservation Fund is dedicated to the preservation of #Africanmanatees #turtles #cetaceans & their habitats throughout the African continent,"Ngazobil, Senegal",False,2022-06-23 13:55:27,Nice new article out today from @savethemanatee  about a recent African #manatee rescue by our partner @DrDunsin and his team in #Nigeria https://t.co/HhnJj209x4,"[{'text': 'manatee', 'indices': [72, 80]}]",Twitter Web App,0
26,Karin Zapata,• Designer • Flamenco's Dancer • Communicator • Creative • Freelancer • Speaking Native Spanish/Maybe you Understand my English&Italian • To be continue... 🍃,,False,2022-06-21 22:08:17,"“Did you know that #manatees are related to elephants? 

Manatees are large aquatic mammals, and sometimes they’re referred as “sea cows”

There are three manatee species worldwide - West Indian, West African and Amazonian - All three are listed as vulnerable to #extinction” https://t.co/SEtyDcYnaX","[{'text': 'manatees', 'indices': [19, 28]}]",Twitter for iPhone,2
27,"Harold E. Byrd, Jr.","Former Councilman City of Bradenton (5 Terms) - U of Miami, Morehouse and Eckerd College - U of Phoenix MPA - FAMU College of Law J.D. #Resist #BLM #FBR #DrCole","Bradenton, FL",False,2022-06-21 21:04:46,For the first time in decades only voters in Manatee County School Board District 2 will decide who will represent them - African American voters number 8598 #SingleMemberDistrict #ManateeSchools https://t.co/kGx6EV0isM,,Twitter Web App,1
28,Slashy- 🔞; Spoilers (OP&FFXIV); Multishipper,"Gamer Homebody, here #forthekids but still 30+, #blacklivesmatter - FFXIV 5.55 Spoilers; One Piece Hyperfixation since Jan 2021 (Multishipper, Spoilers Abound)",PFP by @hincaru,False,2022-06-22 19:58:24,"@fruitybnuuy It is such a good sort of thing to become Fanon, yanno? (I have So Many Shachi and Penguin headcanons, I love them so much)

It absolutely *does't help*. What if it was a mountain lion grandparent with the zebra grandparent, so Shachi gets to have some *real unsettling* screams.",,Twitter Web App,0
29,fi*na,therapist | dog mom | she/her,,False,2022-06-22 19:50:49,@randompotato84 Mountain lion or zebra (they’re surprisingly super aggressive lol),,Twitter for iPhone,0
30,GeekysCorner,I draw on my main @GeekyTheArtist • I'm asexual biromantic and go by any pronouns under the sun • I joke around here to avoid my crippling anxiety,Gay Land With The Bois,False,2022-06-22 02:32:01,"Mountain Goat, Mountain Tree Shrew, Mountain Zebra, Domestic Mouse, Moustached Tamarin, Mule Deer, Musk-ox, Natterer's Bat, New Zealand Sea Lion, Nilgiri Langur, Noctule, North American Porcupine, Northern Elephant Seal, Norther Fur Seal, Northern Quoll, Olympic Marmot,",,Twitter for Android,0
31,Lorrae Wolmarans,,"Port Elizabeth, South Africa",False,2022-06-21 06:09:07,Just posted a photo @ Mountain Zebra National Park https://t.co/b8UZTXGUdd,,Instagram,0
32,Tom's Bot,"I'm a bot. I'm a cyber senpai-seeker. I tweet much more often than Tom (twice per hour)
Powered by https://t.co/H9vUlFcYDL!",Somewhere on the internet,False,2022-06-20 21:33:23,An A press is an A press. You can't say it's only a half. Who did you expect? Sportaflop? - the blue zebra of the mountain called Tom,,"Cheap Bots, Done Quick!",0
33,Dashing,"He neighs, he trots,
he'll love you lots 🦌♥️🦓

18+ / Zebra / Nsfw-ish / Wolf fursuit by @FoxesBoxesSuits / banner by @MsEmpressRising",,False,2022-06-19 01:53:08,@ChocoHorse_ Needs an endless mountain dew goblet,,Twitter for Android,0
34,Brian Lilly,"There is no fundamental difference between man and animals in their ability to feel pleasure and pain, happiness, and misery.” 
― Charles Darwin","England, United Kingdom",False,2022-06-18 15:26:43,Happy 1st birthday to Hartmann’s mountain zebra 'Tamali'. Here she was at 1 week old @PaigntonZoo #zebra https://t.co/WkYVNC9e2T,"[{'text': 'zebra', 'indices': [98, 104]}]",Twitter Web App,1
35,Zoophilist Facts,Are you a zoophilist? Add this account and you'll see facts about the amazing animals that live all around the world.,Earth,False,2022-06-18 09:55:00,"Zebras once roamed all habitats in Africa, with the exceptions of rain forests, deserts, and dunes. Most zebra species live in arid and semi-arid plains and savannas of Africa. Mountain and plains zebras live in family groups or harems. https://t.co/Ky8CyxuDdX",,Twitter Web App,2
36,sweet nothings,"to punkin - you're the bee / you're her knees / you're the unicorn's sparkly sneeze. daily sweet, absurd nothings. A Twitter bot by button, aka @MrPatch","in your ear, softly whispered",False,2022-06-18 00:44:46,"🌼 🌻
 you're Leonardo da Vinci the Mountain goat, who blinks water chestnuts
 you're the zebra's straight, scruffy ball gowns, rapping along the coal mine
 💮 💐",,"Cheap Bots, Done Quick!",0
37,🍓 Jeremy Krueger 🎮 Targeted Individual,"Jeremy is terrorized hourly by voice/shock therapy 📿
Alone for 7 years
Ill, USA
#schizophrenic #autism #indigochild #omnism 
https://t.co/Aeg5opII8U",Targeted since 2015,False,2022-06-17 23:06:54,"@RedTezla1 All of mine feel like an ice cave 
Try zebra calcite mountain",,Twitter for Android,1
38,FlyingFeathersHolidays,"A Travel Company ✈️ that ensures you return with Lots of Wonderful memories 
Reliable | Reasonable | Intl & Domestc tour Packages | Luxury in Budget","Pune, India",False,2022-06-23 12:19:16,"*Flying Quiz*
Guess the State ? 
Hints
1. Famous for Tea and Silk. 
2. One horned indian Rhinoceros. 

@rainaakki @206Globe @PankajRaina2020 @Ankajtickoo @MishikaAnd @vaishanvi1508 @AndPomal https://t.co/uYPQyBvCFo",,Twitter for Android,0
39,Leon Kraversky,,,False,2022-06-21 12:41:46,"Did you know that a #unicorn is actually based on a true animal - the Indian Rhinoceros, which had been considered a legendary creature across Europe and described as a beast with a body of a horse, feet of an elephant and a single horn on its nose? https://t.co/XG4abgf7F8","[{'text': 'unicorn', 'indices': [20, 28]}]",TweetDeck,0
40,NV Raja Shekar,I am a retired Forest officer and wildlifer. Enjoy watching wildlife videos. Wish to spread awareness about Forest Conservation and wildlife protection.,"Hyderabad, India",False,2022-06-21 07:41:24,Destruction of car by a Two horned Rhinoceros in an African National Park. Such stalking and harassment of the Rhinoceros or any wild animal is not allowed in Indian National parks and Wildlife Sanctuaries. #wildlife https://t.co/dvXZPMrVL6,,Twitter for iPhone,0
41,Dr. Deba Kumar  Dutta,"Conservation Biologist,Writer, blogger, Musician, Member IUCN/SSC Asian Rhino Specialist Group,
IUCN /AsRSG Accredited Rhino Monitoring Instructor. Opinions own","Guwahati, Assam",False,2022-06-21 07:38:00,"#Indianrhino
#GorumaraNationalPark in #Northbengal was established in 1994. It is primarily known for its population of Indian rhinoceros. @WestBengalTrsm 
@hodilu @savetherhino @Westbengalforest https://t.co/WxzhreawB2","[{'text': 'Indianrhino', 'indices': [0, 12]}, {'text': 'GorumaraNationalPark', 'indices': [13, 34]}, {'text': 'Northbengal', 'indices': [38, 50]}]",Twitter Web App,10
42,NV Raja Shekar,I am a retired Forest officer and wildlifer. Enjoy watching wildlife videos. Wish to spread awareness about Forest Conservation and wildlife protection.,"Hyderabad, India",False,2022-06-20 12:45:40,Destruction of car by a Two horned Rhinoceros in an African National Park. Such stalking and harassment of the Rhinoceros or any wild animal is not allowed in Indian National parks and Wildlife Sanctuaries. #wildlife https://t.co/Jhr3beEABk,,Twitter for iPhone,0
43,Torm28,My Name torm a Another of Me,,False,2022-06-20 07:22:55,"India's modern mammals there's the Asian elephant Nilgai Indian Rhinoceros Gaur water buffalo Barashinga Sambar Deer and Indian Wild boar 

#India #Animals #elephants #Mammals #Gaur #Waterbuffalo #Nilgai #Barashinga #Indianwildboar #Sambardeer #Indianrhino https://t.co/lVKOMMwad2",,Twitter for Android,1
44,Alokesh Bagchi,Love My Motherland.,,False,2022-06-18 06:35:31,@major_pawan @RahulKaswanMP Thick Skinned! Rhinoceros fails! Shameless Contemporary Indian Politicians! Jai Hind.,,Twitter for iPhone,0
45,Average History Teacher,"Dad. MA. Historian? History Teacher. former NPS, Former Museum Director. History, Ed, Politics and Cryptozoology. Views are mine alone. IG-cryptidhistory",La Florida ,False,2022-06-17 16:24:15,Shortly after taking a  photo this Indian Rhinoceros took a #2. With only something like 3500 Indian rhinos in the whole world I assured my wife I’m a part of an exclusive club of people who have witnessed an Indian Rhino poop. She is not entertained. https://t.co/BAP5XE1Ql6,,Twitter for iPhone,0
46,Educated Choices Program,Nonprofit Organization. We provide science-based education about the impact of food choices. 🌎👇,,False,2022-06-22 15:17:38,"#WorldRainforestDay—Native rainforest species like the South American Tapir, a keystone species that resides in the amazon, are often forced into endangerment &amp; extinction. Tapirs serve a vital role in the local ecosystem as they disperse tree seeds &amp; improve forest biodiversity! https://t.co/W7mnvpC9wl","[{'text': 'WorldRainforestDay', 'indices': [0, 19]}]",Twitter Web App,2
47,Adam Tywoniak,"PhD student, one of #czexpats, * 361 ppm.
Ex @VSCHT, @UniHeidelberg, @mpi_mr_hd.
Science, trains, environmentalism, evidence-based shitposting.
🇨🇿 🇪🇺 he/him","Zürich, CH",False,2022-06-17 18:46:44,@elsalwilliams Petition to introduce us to the South American tapir,,Twitter Web App,0
48,Elsa Williams,"Writer, unwieldy human. Shortlisted for @thousandfilmstv, words in @Independent","North West, England    ",False,2022-06-17 18:25:32,Don’t ask why I am dressed like I’m about to introduce you to the South American tapir https://t.co/39HckgGKpA,,Twitter for iPhone,0
49,Brian Lilly,"There is no fundamental difference between man and animals in their ability to feel pleasure and pain, happiness, and misery.” 
― Charles Darwin","England, United Kingdom",False,2022-06-18 15:26:43,Happy 1st birthday to Hartmann’s mountain zebra 'Tamali'. Here she was at 1 week old @PaigntonZoo #zebra https://t.co/WkYVNC9e2T,"[{'text': 'zebra', 'indices': [98, 104]}]",Twitter Web App,1
50,Tswalu Kalahari,"Restoring the Kalahari through sustainable conservation, informed by research, supported by ecotourism. Follow #Tswalu",South Africa,False,2022-06-16 20:01:20,Hartmann’s mountain zebras are right at home in Tswalu’s semi-arid savannah. #mountainzebras #zebra #natgeotravel #natgeotravelpic #wildlifephotography https://t.co/n7W5qE84fF,"[{'text': 'mountainzebras', 'indices': [77, 92]}, {'text': 'zebra', 'indices': [93, 99]}, {'text': 'natgeotravel', 'indices': [100, 113]}]",LaterMedia,1
51,India in Canada,"Welcome to the official twitter account of the High Commission of India in Ottawa, Canada","Ottawa, Ontario",True,2022-06-23 16:13:24,Hollongapar Gibbon Sanctuary in #Assam &amp; Namdapha National Park in Arunachal Pradesh are the perfect place for sighting this amazing primate. The hoolock gibbon is #India ’s only ape &amp; both the species – the Western hoolock gibbon &amp; the Eastern Hoolock gibbon. #DekhoApnaDesh https://t.co/8fwO5WRotx,"[{'text': 'Assam', 'indices': [32, 38]}]",Twitter Web App,0
52,Gibbon Bot,An Automated Gibbon Bot,,False,2022-06-20 22:03:44,Eastern Hoolock Gibbon (Hoolock leuconedys) https://t.co/cNQH93O6rm,,"Cheap Bots, Done Quick!",9
53,Keith Shields,,Hawkeye State,False,2022-06-21 03:32:28,"Central Decatur softball defeats Murray 8-7.
@d2mart @KMASports @terryfreeman53 @CNASports @ksibradio @MrKeeganSmith @Jar_Lar",,Twitter for Android,0
54,Zain,Human,World,False,2022-06-18 06:08:50,@Ashrafakbaba @BiruniKhorasan @Ab_O_Atash Mr. Parody you come to my replies &amp; ❤️ tweets supporting Lar O Bar. Please pick a lane. Either support Lar O bar &amp; central failed state. Or support federal system.,,Twitter for iPhone,0
55,yks,it's not on you it's in you.|| https://t.co/4tBKYtYXsm to my youtube channel…,healing land ||,False,2022-06-17 19:12:56,That Bawo song by Samthing Soweto and the Soweto Central Chorus of the Salvation Army choir just hits the soul  man 🥹❤️,,Twitter for iPhone,0
56,@promisejos,Craftsman,"Abuja, Nigeria",False,2022-06-17 17:48:05,"@elrufai @MssZeeUsman OGA north central political leader;
Na only national party cheirman una fit dey accept. Right from Solomon'lar till today.
I get book for you.",,Twitter for Android,0
57,Toshi,#bitcoin,,False,2022-06-14 18:40:26,@Lar_Badar @BTC_Archive Don’t know if it is already law but Brazil was planning to give the responsibility of crypto regulation to the central bank of Brazil,,Twitter for iPhone,0
58,SmithsonianEnv,"We're the Smithsonian Environmental Research Center, the Smithsonian's home for the science of the coastal zone! 
Legal: https://t.co/dJOZaQ7IFu","Edgewater, Maryland",True,2022-06-23 15:55:04,"#PollinatorWeek Not all #pollinators are insects. Some are mammals! The largest known pollinator is the black-and-white ruffed lemur, which helps pollinate over 130 different fruits. Their long snouts and tongues dig into flowers for nectar and pollen. https://t.co/zRgtQvT3Lz https://t.co/A2MS1K41RU","[{'text': 'PollinatorWeek', 'indices': [0, 15]}, {'text': 'pollinators', 'indices': [24, 36]}]",Hootsuite Inc.,2
59,Wilder Institute,"Canada’s leading charitable conservation organization, taking and inspiring action to sustain wildlife and wild places.",,False,2022-06-23 15:00:18,The black &amp; white ruffed lemur opens flowers of the traveler's palm to access the nectar inside while their faces get covered in pollen that will be transferred to the next tree. Let's hear it for the world’s largest pollinators! #PollinatorWeek https://t.co/78LLI99hAo,,Meltwater Social,1
60,Newquay Zoo,"Zoo and conservation charity based in Newquay, Cornwall. 🦁🐸🐵","Newquay, England",True,2022-06-23 12:00:02,"🎉 We've got even more baby animal news for you!

Last week we introduced you to our three new black and white ruffed lemur babies. This week, it's time to meet our new-born warty piglets! 

Read the full story here: https://t.co/hhNLJfuz2A

📷 Miriam Haas https://t.co/C76fDoczHo",,Twitter Web App,1
61,Potter Park Zoo,"Potter Park Zoo is an AZA-accredited zoo with over 350 animals, many of which are endangered. Page managed by PPZS.","Lansing, Michigan",False,2022-06-22 13:01:57,"Have you made it to one of our keeper talks? These daily sessions led by our zookeepers give guests a chance to learn about their favorite animals!

10am Bald Eagle 🦅, 10:30am Red Panda, 10:45am Ring-Tailed Lemur, 12pm Black Rhino🦏, 3pm Kangaroo🦘, 4pm Magellanic Penguin 🐧 https://t.co/2cQK2z2KbM",,LaterMedia,0
62,EMERGENCY PAYING FOR COLLEGE COMMS OPEN @ B.L.M,Lvl 20 Leem | 🇵🇷 🇳🇮Artist | 2D Animator | Check Pinned Tweet! | They/She | S.O: peachee_bunbun | ALL COMMS OPEN | Icon by @MrLemur_Arts,,False,2022-06-22 02:42:10,"I don't trust people who complain about puritanism bc it's never actually about Puritans actively pushing and threatening Black, Indigenous POC with their ways of life or actively placing every obstacle under the sun for no other reason than forced assimilation/colonialism",,Twitter for Android,0
63,Dave Burnett,From South Yorkshire.,Sheffield UK,False,2022-06-21 17:25:18,"Photo taken at Yorkshire Wildlife Park, Doncaster.
Wikipedia......
""Black-and-white ruffed lemur
Conservation status
Critically Endangered.
The black-an  #Bear #GiantPanda #Mammal #Animal #Wildlife #Lemur #Zoo #Endangered https://t.co/M1gJdpZnUd",,Clickasnap,0
64,Chase Wildlife Conservancy,"🐒 Our mission is to improve the lives of animals that have been previously neglected, abused or otherwise dealt an unfair hand by the human race.","Florida, USA",False,2022-06-21 17:01:18,"Black and white ruffed lemurs are active, tree-dwelling primates with catlike noses and whiskers. They have no trouble communicating with each other as their loud shrieks can be heard from half a mile. 

#lemur #conservation #wildlife #endangeredspecies #chaserescuesanctuary https://t.co/Uj5kKwrJgG",,practina,0
65,lemur every hour,my name is lemury... i post an image of a lemur every hour! bot account... DM @qqqqDaubentonia for question ⭐ (lemurs are never pets! read my pinned thread),,False,2022-06-21 16:50:50,@sansansansaname fun fact! it is possible for a black-and-white ruffed lemur and a red ruffed lemur to produce a hybrid individual!,,"Cheap Bots, Done Quick!",0
66,Wild Planet Trust,"Wild Planet Trust is a registered education and conservation charity that runs @paigntonzoo and @newquayzoo.
Based in Devon, UK. We're working for wildlife!",,False,2022-06-21 12:00:02,"Our zoo @NewquayZoo has recently welcomed three new black and white ruffed lemur babies, which is excellent news for this Critically Endangered species.

Read the full story here: https://t.co/2iA4Jy1P3W",,Twitter Web App,0
67,FCBian,"“I have seen the player who will inherit my place in Argentine football and his name is Messi. Messi is a genius.” Diego Maradona.
Força Barça 💙❤️ @FCBarcelona",Catalunya,False,2022-06-21 05:42:47,@abhiheks000 @champ_lemur @getlord45678 @MadridXtra You guys invent whitening creams like being black is a disease. You guys think being African is embarassing while you yourself shit on railway tracks and live in slums. I'm not saying every Indian should be embarassed but you definitely should be,,Twitter for Android,0
68,Iameatingnow,,,False,2022-06-20 01:32:56,I am preparing red-bellied lemur as I despair over Marshall McLuhan.,,"Cheap Bots, Done Quick!",0
69,CotswoldWildlifePark,Closer to Wildlife! With over 260 Animal species in over 160 acres of stunning gardens and Parkland. Get eye-to-eye with Giraffe. Walk with Lemurs.,"Burford, Oxfordshire, OX18 4JP",False,2022-06-19 07:38:00,"For Father’s Day, we thought we’d celebrate some of the amazing dads at the Park in card form! From some of our long-standing dads, like Otis the red-bellied lemur and Bob the zebra, to some of our first time dads including Louis the camel and Bernard the ring-tailed lemur https://t.co/bb5YWbBfrS",,TweetDeck,3
70,🌺 Zahzu @ ArtFight 👑,"💜In Memory of Natania🦓                                                 🦊🌺 8/24/2021 @ 1:20 AM 🏵️🌻                      
👑Lemur Queen🌺||💜@MuseTheHusky🧡",She/They||✡️||Zoologist||BLM,False,2022-06-17 23:00:15,"4. 📚 Josie
- Female Red-Bellied Lemur (Eulemur rubriventer)
- She's a Librarian (&amp; sometimes a lab assistant, depending on the AU)
- A bit frazzled and shy, but very meticulous most of the time &amp; dedicated to whatever work she's tasked with!
- SNORTS WHEN SHE LAUGHS 🥺💜 https://t.co/cPzbMvjuV9",,Twitter for Android,0
71,Potter Park Zoo,"Potter Park Zoo is an AZA-accredited zoo with over 350 animals, many of which are endangered. Page managed by PPZS.","Lansing, Michigan",False,2022-06-22 13:01:57,"Have you made it to one of our keeper talks? These daily sessions led by our zookeepers give guests a chance to learn about their favorite animals!

10am Bald Eagle 🦅, 10:30am Red Panda, 10:45am Ring-Tailed Lemur, 12pm Black Rhino🦏, 3pm Kangaroo🦘, 4pm Magellanic Penguin 🐧 https://t.co/2cQK2z2KbM",,LaterMedia,0
72,Antares,,,False,2022-06-22 11:32:19,"@saim_fcb @champ_lemur @RealMadridXtra Ok give the first yellow to Casemiro and Ancelotti will sub him, but then give the red to Rodri and we are even.",,Twitter Web App,0
73,Antares,,,False,2022-06-22 11:25:33,@champ_lemur @saim_fcb @RealMadridXtra He didn't even mention the Rodri's slap on Modric's face. That should've been a red card for City,,Twitter Web App,0
74,PopArtByElena,An Actress/singer who has decided to follow her dream of being an artist full time. Influenced by many pop artists before her.,"Virginia, USA",False,2022-06-22 03:07:07,"New artwork for sale! - ""Ruffles the Red Ruffed Lemur "" - https://t.co/V6R9V6cf3f @fineartamerica https://t.co/gKTa6nuTLG",,Fine Art America,1
75,lemur every hour,my name is lemury... i post an image of a lemur every hour! bot account... DM @qqqqDaubentonia for question ⭐ (lemurs are never pets! read my pinned thread),,False,2022-06-21 16:50:50,@sansansansaname fun fact! it is possible for a black-and-white ruffed lemur and a red ruffed lemur to produce a hybrid individual!,,"Cheap Bots, Done Quick!",0
76,childhoodobject,"Ever lost an favorite childhood toy? Might it be here? By @JPJGarvin, hosted using CBDQ",,False,2022-06-21 13:05:08,"My childhood toy was a red lemur, I wonder where it went.",,"Cheap Bots, Done Quick!",0
77,sweet nothings,"to punkin - you're the bee / you're her knees / you're the unicorn's sparkly sneeze. daily sweet, absurd nothings. A Twitter bot by button, aka @MrPatch","in your ear, softly whispered",False,2022-06-21 03:43:41,"🌹 🥀
 you're the lemur’s favorite red cloak
 you're Virginia Woolf's huge, brave mustangs
 💐 🍌",,"Cheap Bots, Done Quick!",0
78,Creatures from elsewhere,"A nature documentary, from the hidden places. New creature every three hours. Created and maintained by @blairpallen",,False,2022-06-21 03:33:04,"A seventeen legged red lemur, hovering over the damp mind. It parasitizes gaggles of fifty armed redish centaurs.",,"Cheap Bots, Done Quick!",0
